,id,gericht,urteilsdatum,fall_nr,url_link,verfahrensart,geschlecht,nationalitaet,hauptdelikt,mehrfach,gewerbsmaessig,bandenmaessig,deliktssumme,nebenverurteilungsscore,vorbestraft,vorbestraft_einschlaegig,freiheitsstrafe_in_monaten,vollzug
104,156,Bezirksgericht Zürich,2020-12-17,SB210192,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210192-O1.pdf,0,männlich,Schweizerin/Schweizer,Betrug,False,True,False,640000,0,False,False,30,1
105,173,Bezirksgericht Bülach,2021-01-06,SB210222,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210222-O1.pdf,0,weiblich,unbekannt,Diebstahl,False,False,False,418,0,False,False,1,0
106,109,Bezirksgericht Zürich,2021-01-28,SB210242,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210242-O1.pdf,0,weiblich,Ausländerin/Ausländer,Diebstahl,True,False,False,300,8,True,True,14,0
107,159,Bezirksgericht Zürich,2021-03-10,SB210321,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210321-O1.pdf,0,männlich,unbekannt,Veruntreuung,True,True,False,630000,0,False,False,24,0
108,104,Bezirksgericht Zürich,2021-03-29,SB210285,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210285-O1.pdf,0,männlich,Ausländerin/Ausländer,Betrug,False,True,False,44000,0,False,False,7,0
109,168,Bezirksgericht Bülach,2021-04-10,SB210518,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB150326-O1.pdf,0,männlich,unbekannt,Veruntreuung,False,False,False,608400,4,True,False,39,2
110,129,Bezirksgericht Zürich,2021-04-12,SB210341,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210341-O1.pdf,0,weiblich,unbekannt,Betrug,False,True,False,1300000,3,False,False,32,1
111,52,Bezirksgericht Zürich,2021-04-22,SB190523,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB190523-O1.pdf,0,männlich,unbekannt,Veruntreuung,True,False,False,487000,8,False,False,27,1
112,99,Bezirksgericht Dietikon,2021-04-27,SB210497,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210497-O1.pdf,0,männlich,unbekannt,Betrug,False,False,False,80000,2,True,False,12,0
113,111,Bezirksgericht Zürich,2021-05-27,SB210362,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210362-O1.pdf,0,männlich,unbekannt,Sachbeschädigung,True,False,False,301,1,True,True,8,0
114,153,Bezirksgericht Winterthur,2021-06-03,SB220165,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB220165-O1.pdf,0,weiblich,Ausländerin/Ausländer,betr. Missbrauch DVA,True,False,False,5829,1,True,True,7,0
115,112,Bezirksgericht Zürich,2021-06-10,SB210428,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210428-O1.pdf,0,männlich,Ausländerin/Ausländer,Diebstahl,False,True,True,26758,9,True,True,54,2
116,105,Bezirksgericht Dietikon,2021-07-07,SB210508,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210508-O1.pdf,0,männlich,Ausländerin/Ausländer,Betrug,False,False,False,5000,0,True,True,6,0
117,116,Bezirksgericht Meilen,2021-07-08,SB210503,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210503-O1.pdf,0,männlich,Ausländerin/Ausländer,betr. Missbrauch DVA,True,False,False,50000,8,True,True,16,2
118,110,Bezirksgericht Dielsdorf,2021-08-30,SB210654,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB210654-O1.pdf,0,männlich,Schweizerin/Schweizer,Diebstahl,False,True,False,19189,4,True,True,30,2
119,157,Bezirksgericht Winterthur,2021-08-30,SB220196,https://www.gerichte-zh.ch/fileadmin/user_upload/entscheide/oeffentlich/SB220196-O1.pdf,0,männlich,Ausländerin/Ausländer,Diebstahl,False,False,False,1950,2,True,True,10,2
